;,Arsenal,,,Starting Cap,Players Needed,,,Nuggets,,,Starting Cap,Players Needed,,,Twins,,,Starting Cap,Players Needed,,,Phillies,,,Starting Cap,Players Needed,,,Wombats,,,Starting Cap,Players Needed,,,Ducks,,,Starting Cap,Players Needed,,,Renegades,,,Starting Cap,Players Needed,,,Matadors,,,Starting Cap,Players Needed,,,Bison,,,Starting Cap,Players Needed,,,Cattlemen,,,Starting Cap,Players Needed
,,,,$292,20,,,,,,$195,22,,,,,,$211,23,,,,,,$89,14,,,,,,$121,16,,,,,,$134,18,,,,,,$171,24,,,,,,$150,17,,,,,,$124,14,,,,,,$207,15
,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid
,$45,0,,#DIV/0!,$46,,,$0,0,,#DIV/0!,$1,,,$36,0,,#DIV/0!,$37,,,$4,0,,#DIV/0!,$5,,,$0,0,,#DIV/0!,$1,,,$1,0,,#DIV/0!,$2,,,$0,0,,#DIV/0!,$1,,,$6,0,,#DIV/0!,$7,,,$1,0,,#DIV/0!,$2,,,$1,0,,#DIV/0!,$2
#,Player,,,Salary,Length,,#,Player,,,Salary,Length,,#,Player,,,Salary,Length,,#,Player,,,Salary,Length,,#,Player,,,Salary,Length,,#,Player,,,Salary,Length,,#,Player,,,Salary,Length,,#,Player,,,Salary,Length,,#,Player,,,Salary,Length,,#,Player,,,Salary,Length
1,"Judge, Aaron",,1,$75,4,,1,"Sears, J.P.",,1,$2,,,1,"Goldschmidt, Paul",,1,$45,,,1,"Syndergaard, Noah",,1,$3,,,1,"Morgan, Eli",,1,$2,,,1,"Trout, Mike",,1,$49,,,1,"Grossman, Robbie",,1,$2,1,,1,"Harris, Michael",,1,$29,2,,1,"Robles, Victor",,1,$5,1,,1,"Drury, Brandon",,1,$20,2
2,"Holmes, Clay",,1,$19,1,,2,"Almonte, Yency",,1,$21,,,2,"Rodon, Carlos",,1,$35,,,2,"Correa, Carlos",,1,$30,,,2,"King, Michael",,1,$19,,,2,"Story, Trevor",,1,$5,,,2,"Helsley, Ryan",,1,$29,2,,2,"Contreras, William",,1,$13,1,,2,"Kwan, Steven",,1,$30,3,,2,"Thompson, Trayce",,1,$20,2
3,"Seager, Corey",,1,$19,1,,3,"Meneses, Joey",,1,$25,,,3,"Escobar, Eduardo",,1,$20,,,3,"Phillips, Evan",,1,$30,,,3,"Strider, Spencer",,1,$46,,,3,"Soto, Juan",,1,$59,,,3,"Doval, Camilo ",,1,$6,3,,3,"Adam, Jason",,1,$29,2,,3,"McCarthy, Jake",,1,$24,3,,3,"Quintana, Jose",,1,$20,2
4,"Duran, Jhoan",,1,$29,2,,4,"Arraez, Luis",,1,$21,,,4,"Wainwright, Adam",,1,$15,,,4,"Molina, Yadier",,1,$3,,,4,"Ranger, Suarez",,1,$3,,,4,"Choi, Ji-Man",,1,$1,,,4,"Swanson, Dansby",,1,$35,3,,4,"Bart, Joey",,1,$2,2,,4,"Kim, Ha-seong",,1,$30,3,,4,"Marte, Starling",,1,$29,2
5,"Mantiply, Joe",,1,$7,1,,5,"Suarez, Robert",,1,$19,,,5,"McGee, Jake",,1,$5,,,5,"Hill, Rich",,1,$1,,,5,"Gausman, Kevin",,1,$10,,,5,"Sanchez, Gary",,1,$1,,,5,"Myers, Wil",,1,$3,3,,5,"Stubbs, Garrett",,1,$5,1,,5,"Barria, Jaime",,1,$8,1,,5,"Wright, Kyle",,1,$22,2
6,"Benintendi, Andrew",,1,$21,2,,6,"Marinaccio, Ron",,1,$10,,,6,"Alvarado, Jose",,1,$5,,,6,"Pham, Tommy",,1,$2,,,6,"Estrada, Thairo",,1,$4,,,6,"Clevinger, Mike",,1,$1,,,6,"Gray, Sonny",,1,$10,3,,6,"Springs, Jeffrey",,1,$17,1,,6,"Ramirez, Harold",,1,$5,2,,6,"Nootbaar, Lars",,1,$29,2
7,"Kluber, Corey",,1,$7,1,,7,"Cabrera, Edward",,1,$10,,,7,"Chapman, Aroldis",,1,$5,,,7,"Irvin, Cole",,1,$1,,,7,"Dominguez, Seranthony",,1,$8,,,7,"Hentges, Sam",,1,$3,,,7,"Okert, Steven",,1,$4,2,,7,"Lee, Dylan",,1,$6,1,,7,"Schreiber, John",,1,$10,2,,7,"Moran, Jovani",,1,$9,2
8,"Edman, Tommy",,1,$19,1,,8,"Verdugo, Alex",,1,$5,,,8,"Cronenworth, Jake",,1,$10,,,8,"Elder, Bryce",,1,$1,,,8,"Paredes, Isaac",,1,$3,,,8,"Tepera, Ryan",,1,$1,,,8,"Bard, Daniel",,1,$19,1,,8,"Severino, Luis",,1,$10,2,,8,"Turner, Justin",,1,$2,1,,8,"Bass, Anthony",,1,$13,1
9,"Rengifo, Luis",,1,$5,1,,9,"Gurriel, Lourdes",,1,$15,,,9,"Heim, Jonah",,1,$6,,,9,"Effross, Scott",,1,$4,,,9,"Guillorme, Luis",,1,$12,,,9,"LeClerc, Jose",,1,$2,,,9,"Siri, Jose",,1,$4,1,,9,"Berti, John",,1,$10,1,,9,"Cooper, Garrett",,1,$2,2,,9,"Trevino, Jose",,1,$8,2
10,"Lowe, Josh",,1,$6,2,,10,"Thompson, Zack",,1,$17,,,10,"Voit, Luke",,1,$1,,,10,Albies Ozzie,,1,$5,,,10,"Burke, Brock",,1,$3,,,10,"Moore, Matt",,1,$1,,,10,"Kelly, Merrill",,1,$17,2,,10,"Gonzalez, Oscar",,1,$5,3,,10,"Hampson, Garrett",,1,$1,2,,10,"Anderson, Tyler",,1,$19,1
11,"Profar, Jurickson",,1,$5,1,,11,"Peralta, Wandy",,1,$7,,,11,"Peralta, David",,1,$1,,,11,"Heaney, Andrew",,1,$1,,,11,"Vogelbach, Dan",,1,$4,,,11,"Castillanos, Nick",,1,$3,,,11,"Donovan, Brendan",,1,$20,2,,11,"De La Cruz, Bryan",,1,$3,2,,11,"Mahle, Tyler",,1,$1,3,,11,"Segura, Jean",,1,$6,1
12,"Raley, Brooks",,1,$12,1,,12,"Miranda, Jose",,1,$2,,,12,"Gallo, Joey",,1,$4,,,12,"Ferguson, Caleb",,1,$1,,,12,"Maile, Luke",,1,$1,,,12,"Lamet, Dinelson",,1,$1,,,12,"Herget, Jimmy",,1,$9,2,,12,"Hader, Josh",,1,$3,4,,12,"Barnes, Austin",,1,$1,2,,12,"Nelson, Kyle",,1,$6,1
13,"Pepiot, Ryan",,1,$1,2,,13,"Perez, Martin",,1,$4,,,13,"Loaisiga, Jonathan",,1,$1,,,13,"Hicks, Jordan",,1,$2,,,13,"De Los Santos, Enyel",,1,$1,,,13,"Sandlin, Nick",,1,$1,,,13,"Wynns, Austin",,1,$1,1,,13,"Houck, Tanner",,1,$3,3,,13,"Jax, Griffin",,1,$3,1,,13,"Peterson, David",,1,$2,4
14,"Bellinger, Cody",,1,$5,1,,14,"Robertson, David",,1,$5,,,14,"Floro, Dylan",,1,$3,,,14,"Jimenez, Dany",,1,$1,,,14,"Merrifield, Whit",,1,$3,,,14,"Davies, Zach",,1,$1,,,14,"Wendle, Joey",,1,$2,3,,14,"Morton, Charlie",,1,$1,3,,14,"Iglesias, Jose",,1,$1,2,,14,"Ramirez, Erasmo",,1,$1,3
15,"Allen, Nick",,1,$3,1,,15,"Bethancourt, Christian",,1,$3,,,15,"Yastrzemski, Mike",,1,$3,,,F,,,,,,,15,"Beeks, Jalen",,1,$1,,,15,"Walsh, Jared",,1,$1,,,15,"Stott, Bryson",,1,$1,3,,15,"Detmers, Reid",,1,$1,3,,F,,,,,,,15,"Woodford, Jake",,1,$2,3
16,"Pallante, Andre",,1,$1,1,,16,"Quijada, Jose",,1,$4,,,16,"Trivino, Lou",,1,$1,,,F,,,,,,,16,"Hill, Tim",,1,$1,,,16,"Wilson, Steven",,1,$1,,,16,"Finnigan, Kyle",,1,$1,2,,16,"Thomas, Alek",,1,$1,4,,F,,,,,,,F,,,,,
17,"Gray, Jon",,1,$2,2,,17,"Straw, Myles",,1,$2,,,17,"Melancon, Mark",,1,$1,,,F,,,,,,,F,,,,,,,17,"Lowe, Brandon",,1,$1,,,17,"Yepez, Juan",,1,$1,4,,17,"Arroyo, Christian",,1,$1,2,,F,,,,,,,F,,,,,
18,"Bleday, JJ",,1,$1,2,,18,"Jackson, Zack",,1,$1,,,18,"Montas, Frankie",,1,$1,,,F,,,,,,,F,,,,,,,18,"Anderson, Ian",,1,$1,,,18,"Hernandez, Kike",,1,$1,2,,F,"Vargas, Miguel",,,$3,4,,F,,,,,,,F,,,,,
19,"Barlow, Joe",,1,$1,1,,19,"Herrerra, Jose",,1,$1,,J,19,"Polanco, Jorge",,1,$1,,,F,,,,,,,F,,,,,,,F,,,,,,,19,"Cruz, Nelson",,1,$1,1,,F,"Casas, Triston",,,$2,4,,F,,,,,,,F,,,,,
20,"Longoria, Evan",,1,$3,1,,20,"Azocar, Jose",,1,$3,,,20,"Suarez, Jose",,1,$3,,,F,,,,,,,F,,,,,,,F,,,,,,,20,"Estevez, Carlos",,1,$1,2,,F,,,,,,,F,,,,,,,F,,,,,
F,"Senga, Kodai",,,$1,2,,21,"Marte, Ketel",,1,$4,,,21,"Gibson, Kyle",,1,$3,,,F,,,,,,,F,,,,,,,F,,,,,,,21,"Poche, Colin",,1,$1,3,,F,,,,,,,F,,,,,,,F,,,,,
F,"Mead, Curtis",,,$3,2,,22,"Gordon, Nick",,1,$1,,,22,"Martin, Brett",,1,$1,,,F,,,,,,,F,,,,,,,F,,,,,,,22,"Morejon, Adrian",,1,$1,4,,F,,,,,,,F,,,,,,,F,,,,,
F,"Tovar, Ezequiel",,,$2,2,,F,"Carroll, Corbin",,,$1,,,23,"Richards, Trevor",,1,$1,,,F,,,,,,,F,,,,,,,F,,,,,,,23,"Belt, Brandon",,1,$1,3,,F,,,,,,,F,,,,,,,F,,,,,
F,,,,,,,F,"Walker, Jordan",,,$4,,,F,"Bradley, Taj",,,$4,,,F,,,,,,,F,,,,,,,F,,,,,,,24,"Crawford, Brandon",,1,$1,2,,F,,,,,,,F,,,,,,,F,,,,,
F,,,,,,,F,"Yoshida, Masataka",,,$3,,,F,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,
F,,,,,,,F,"Perez, Yuri",,,$3,,,F,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,
F,,,,,,,F,"Moreno, Gabriel",,,$1,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,
F,,,,,,,F,"Painter, Andrew",,,$1,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,