,Renegades,,,Starting Cap,Players Needed,,,Twins,,,Starting Cap,Players Needed,,,Phillies,,,Starting Cap,Players Needed,,,Arsenal,,,Starting Cap,Players Needed,,,Matadors,,,Starting Cap,Players Needed,,,Nuggets,,,Starting Cap,Players Needed,,,Cattlemen,,,Starting Cap,Players Needed,,,Bison,,,Starting Cap,Players Needed,,,Wombats,,,Starting Cap,Players Needed,,,Ducks,,,Starting Cap,Players Needed
,,,,$128,12,,,,,,$142,11,,,,,,$139,18,,,,,,$141,15,,,,,,$171,12,,,,,,$223,16,,,,,,$115,16,,,,,,$160,17,,,,,,$88,15,,,,,,$190,20
,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid,,,Total $$,Spots left to Fill,,$$ per selection,Max Bid
,$0,0,,#DIV/0!,$1,,,$41,0,,#DIV/0!,$42,,,$4,0,,#DIV/0!,$5,,,$35,0,,#DIV/0!,$36,,,$12,0,,#DIV/0!,$13,,,$9,0,,#DIV/0!,$10,,,$0,0,,#DIV/0!,$1,,,$4,0,,#DIV/0!,$5,,,$0,0,,#DIV/0!,$1,,,$0,0,,#DIV/0!,$1
#,Player,,,Salary,Length,,#,Player,,,Salary,Length,,#,Player,,,Salary,Length,,#,Player,,,Salary,Length,,#,Player,,,Salary,Length,,#,Player,,,Salary,Length,,#,Player,,,Salary,Length,,#,Player,,,Salary,Length,,#,Player,,,Salary,Length,,#,Player,,,Salary,Length
1,Anthony Rizzo,,1,$16,,,1,Buster Posey,,1,$37,,,1,Myles Straw,,1,$10,,,1,Manny Machado,,1,$22,,,1,Ronald Acuna,,1,$49,,,1,Tomas Nido,,1,$2,,,1,Trevor Bauer,,1,$18,,,1,Austin Slater,,1,$11,,,1,Joe Musgrove,,1,$25,,,1,Jacob deGrom,,1,$37,
2,Kyle Schwarber,,1,$33,,,2,T.J. McFarland,,1,$10,,,2,Anthony DeSclafani,,1,$20,,,2,Bobby Dalbec,,1,$2,,,2,Josh Donaldson,,1,$5,,,2,Ranger Suarez,,1,$39,,,2,Andrew Chafin,,1,$21,,,2,Collin McHugh,,1,$30,,,2,Drew Rassmussen,,1,$21,,,2,Brandon Crawford,,1,$29,
3,Josh Harrison,,1,$10,,,3,Matt Barnes,,1,$19,,,3,Kris Bryant,,1,$14,,,3,Steven Duggar,,1,$4,,,3,Yu Darvish,,1,$15,,,3,Steven Okert,,1,$11,,,3,Yadier Molina,,1,$19,,,3,Reese McGuire,,1,$7,,,3,Jonathan Loaisiga,,1,$19,,,3,D.J. LeMahieu,,1,$29,
4,Curt Casali,,1,$4,,,4,Tyler Rogers,,1,$5,,,4,Chris Sale,,1,$13,,,4,Huascar Ynoa,,1,$5,,,4,C.J. Cron,,1,$9,,,4,Alek Manoah,,1,$25,,,4,Tim Mayza,,1,$22,,,4,Javier Baez,,1,$29,,,4,J.D. Davis,,1,$1,,,4,Miles Mikolas,,1,$1,
5,Richard Rodriguez,,1,$20,,,5,Edwin Diaz,,1,$7,,,5,Austin Gomber,,1,$5,,,5,Michael Wacha,,1,$1,,,5,Andrew Kittredge,,1,$16,,,5,Louis Head,,1,$23,,,5,Jesse Chavez,,1,$3,,,5,James McCann,,1,$4,,,5,Xander Bogaerts,,1,$12,,,5,Brett Phillips,,1,$25,
6,Emmanuel Clase,,1,$35,,,6,Corey Dickerson,,1,$1,,,6,Joe Panik,,1,$1,,,6,Yusmeiro Petit,,1,$5,,,6,Adam Frazier,,1,$14,,,6,Kevin Kiermaier,,1,$10,,,6,Phil Bickford,,1,$9,,,6,Raisel Iglesias,,1,$19,,,6,Austin Nola,,1,$1,,,6,Santiago Espinal,,1,$20,
7,Deolis Guerra,,1,$2,,,7,Jonathan Villar,,1,$7,,,7,Logan Webb,,1,$29,,,7,Kyle Higashioka,,1,$1,,,7,Yonathan Daza,,1,$2,,,7,George Springer,,1,$21,,,7,Austin Hedges,,1,$2,,,7,Nestor Cortez,,1,$8,,,7,Matt Beatty ,,1,$1,,,7,Ryan Yarbrough,,1,$1,
8,Alex Vesia,,1,$2,,,8,Trevor Rogers,,1,$9,,,8,Stephen Vogt,,1,$1,,,8,Lucas Luetge,,1,$4,,,8,Richard Bleier,,1,$19,,,8,Zach Thompson,,1,$15,,,8,Cal Quantrill,,1,$4,,,8,Nick Sandlin,,1,$20,,,8,Craig Stammen ,,1,$1,,,8,Joe Kelly,,1,$29,
9,Starlin Castro,,1,$2,,,9,Brad Miller,,1,$3,,,9,Drew Smith,,1,$2,,,9,Garrett Whitlock,,1,$10,,,9,Trevor Richards,,1,$19,,,9,Elias Diaz,,1,$19,,,9,Luis Cessa,,1,$1,,,9,Adolis Garcia,,1,$14,,,9,Marcel Ozuna ,,1,$1,,,9,Wilson Ramos,,1,$1,
10,Andy Ibanez,,1,$1,,,10,Anthony Bender,,1,$1,,,10,Patrick Sandoval,,1,$6,,,10,Shane McClanahan,,1,$8,,,10,Bradley Zimmer,,1,$3,,,10,Jordan Holloway,,1,$4,,,10,Rhys Hoskins,,1,$5,,,10,Danny Jansen,,1,$2,,,10,Domingo German,,1,$1,,,10,Ashton Goudeau,,1,$4,
11,John King,,1,$1,,,11,Josh Rojas,,1,$1,,,11,Noe Ramirez,,1,$20,,,11,Francisco Mejia,,1,$2,,,11,Jorge Alfaro,,1,$2,,,11,Kyle Muller,,1,$6,,,11,Jorge Soler,,1,$3,,,11,Albert Pujols,,1,$1,,,11,Ian Kennedy ,,1,$1,,,11,J.T. Chargois,,1,$4,
12,Jose Alvarez,,1,$2,,,F,Jack Leiter,,,$1,,,12,Caleb Thielbar,,1,$1,,,12,Josh Bell,,1,$4,,,12,Edmundo Sosa,,1,$1,,,12,Kyle McGowin,,1,$9,,,12,Daniel Hudson,,1,$4,,,12,Adam Cimber,,1,$4,,,12,Ryan Zimmerman ,,1,$1,,,12,Manuel Margot,,1,$1,
F,,,,,,,F,,,,,,,13,Connor Joe,,1,$3,,,13,Seth Brown,,1,$1,,,F,Shane Baz,,,$1,,,13,Dominic Leone,,1,$19,,,13,James Kaprielian,,1,$1,,,13,Andres Giminez,,1,$1,,,13,Trevor May,,1,$1,,,13,Ross Stripling,,1,$1,
F,,,,,,,F,,,,,,,14,Wilmer Flores,,1,$1,,,14,Bailey Ober,,1,$1,,,F,Anthony Volpe,,,$4,,,14,Jesus Sanchez,,1,$5,,,14,Kwang Hyun Kim,,1,$1,,,14,Eduardo Rodriguez,,1,$1,,,14,Pavin Smith ,,1,$1,,,14,Jameson Taillon,,1,$1,
F,,,,,,,F,,,,,,,15,Dominic Smith,,1,$3,,,15,Lane Thomas,,1,$1,,,F,,,,,,,15,Charlie Culberson,,1,$4,,,15,Brad Hand,,1,$1,,,15,Bryan de la Cruz,,1,$3,,,15,Jesus Aguilar ,,1,$1,,,15,Connor Brogdon,,1,$1,
F,,,,,,,F,,,,,,,16,Bailey Falter,,1,$1,,,F,Keibert Ruiz,,,$6,,,F,,,,,,,16,Alex Reyes,,1,$2,,,16,Eddie Rosario,,1,$1,,,16,Alex Cobb,,1,$1,,,F,,,,,,,16,Tony Gonsolin,,1,$2,
F,,,,,,,F,,,,,,,17,LaMonte Wade Jr.,,1,$4,,,F,Joe Ryan,,,$5,,,F,,,,,,,F,,,,,,,F,,,,,,,17,Magneuris Sierra,,1,$1,,,F,,,,,,,17,Zac Gallen,,1,$1,
F,,,,,,,F,,,,,,,18,Travis d'Arnaud,,1,$1,,,F,Shea Langeliers,,,$5,,,F,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,18,Raimel Tapia,,1,$1,
F,,,,,,,F,,,,,,J,F,,,,,,,F,Nolan Gorman,,,$5,,,F,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,19,Alejandro Kirk,,1,$1,
F,,,,,,,F,,,,,,,F,,,,,,,F,Josh Jung,,,$5,,,F,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,20,Lucas Gilbreath,,1,$1,
F,,,,,,,F,,,,,,,F,,,,,,,F,Cole Winn,,,$5,,,F,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,F,,,,,
F,,,,,,,F,,,,,,,F,,,,,,,F,Vidal Brujan,,,$4,,,F,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,F,,,,,,,F,,,,,
F,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,
F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,
F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,
F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,
F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,
,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,
,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,